en	ja	reading	lesson	note
LRU	LRU	LRU	12	see: least recently used
write-through policy	ライトスルー方式	らいとするーほうしき	12	cache write policy
write-allocate policy	ライトアロケート方式	らいとあろけーとほうしき	12	cache write policy
write-back policy	ライトバック方式	らいとばっくほうしき	12	cache write policy
dirty bit	ダーティビット	だーてぃびっと	12	
virtual memory	仮想記憶	かそうきおく	13	
physical memory	物理メモリ	ぶつりめもり	13	
physical address	物理アドレス	ぶつりあどれす	13	
virtual address space	仮想アドレス空間	かそうあどれすくうかん	13	
virtual address	仮想アドレス	かそうあどれす	13	
page	ページ	ぺーじ	13	
page frame	ページフレーム	ぺーじふれーむ	13	
page table	ページテーブル	ぺーじてーぶる	13	
page fault	ページフォールト	ぺーじふぉーると	13	
virtual page number	仮想ページ番号	かそうぺーじばんごう	13	
page offset	ページオフセット	ぺーじおふせっと	13	
physical frame number	物理フレーム番号	ぶつりふれーむばんごう	13	
flat page table	単一レベルページテーブル	たんいつれべるぺーじてーぶる	13	
page table entry	ページテーブルエントリ	ぺーじてーぶるえんとり	13	
PTE	PTE	PTE	13	see: page table entry
multi-level page table	多段ページテーブル	ただんぺーじてーぶる	13	
page size	ページサイズ	ぺーじさいず	13	
internal fragmentation	内部断片化	ないぶだんぺんか	13	
translation lookaside buffer	TLB	TLB	13	
TLB	TLB	TLB	13	see: translation lookaside buffer
TLB miss	TLB ミス	TLB みす	13	
page table walk	ページテーブルウォーク	ぺーじてーぶるうぉーく	13	
pipelined cache	パイプライン化キャッシュ	ぱいぷらいんかきゃっしゅ	14	
virtually accessed cache	仮想アドレスキャッシュ	かそうあどれすきゃっしゅ	14	
virtually indexed physically tagged cache	仮想インデックス物理タグキャッシュ	かそういんでっくすぶつりたぐきゃっしゅ	14	
VIPT	VIPT	VIPT	14	see: virtually indexed physically tagged cache
aliasing	エイリアシング	えいりあしんぐ	14	virtual addresses mapping to the same physical address
way prediction	ウェイ予測	うぇいよそく	14	
not most recently used	NMRU	NMRU	14	replacement policy
NMRU	NMRU	NMRU	14	see: not most recently used
pseudo-LRU	疑似 LRU	ぎじ LRU	14	replacement policy
PLRU	PLRU	PLRU	14	see: pseudo-LRU
compulsory miss	初期参照ミス	しょきさんしょうみす	14	3C model
capacity miss	容量性ミス	ようりょうせいみす	14	3C model
conflict miss	競合性ミス	きょうごうせいみす	14	3C model
prefetching	プリフェッチ	ぷりふぇっち	14	
prefetch instruction	プリフェッチ命令	ぷりふぇっちめいれい	14	
hardware prefetching	ハードウェアプリフェッチ	はーどうぇあぷりふぇっち	14	
stream buffer	ストリームバッファ	すとりーむばっふぁ	14	
stride prefetcher	ストライドプリフェッチャ	すとらいどぷりふぇっちゃ	14	
correlating prefetcher	相関プリフェッチャ	そうかんぷりふぇっちゃ	14	
loop interchange	ループ交換	るーぷこうかん	14	
overlap miss	オーバーラップミス	おーばーらっぷみす	14	cache misses in progress at the same time
miss-under-miss support	ミスアンダーミス対応	みすあんだーみすたいおう	14	
cache hierarchy	キャッシュ階層	きゃっしゅかいそう	14	also: multilevel caches
L2 cache	L2 キャッシュ	L2 きゃっしゅ	14	second-level cache
last-level cache	最終レベルキャッシュ	さいしゅうれべるきゃっしゅ	14	
LLC	LLC	LLC	14	see: last-level cache
local hit rate	局所ヒット率	きょくしょひっとりつ	14	
global hit rate	大域ヒット率	たいいきひっとりつ	14	
local miss rate	局所ミス率	きょくしょみすりつ	14	
global miss rate	大域ミス率	たいいきみすりつ	14	
misses per 1000 instructions	1000 命令当たりミス数	1000めいれいあたりみすすう	14	
inclusion property	包含性	ほうがんせい	14	
static random-access memory	SRAM	SRAM	15	
SRAM	SRAM	SRAM	15	see: static random-access memory
dynamic random-access memory	DRAM	DRAM	15	
DRAM	DRAM	DRAM	15	see: dynamic random-access memory
memory cell	メモリセル	めもりせる	15	
word line	ワード線	わーどせん	15	
bit line	ビット線	びっとせん	15	
trench cell	トレンチセル	とれんちせる	15	DRAM cell with trench capacitor
refresh	リフレッシュ	りふれっしゅ	15	DRAM
row decoder	行デコーダ	ぎょうでこーだ	15	
sense amplifier	センスアンプ	せんすあんぷ	15	
column multiplexer	列マルチプレクサ	れつまるちぷれくさ	15	
destructive read	破壊読み出し	はかいよみだし	15	
fast page mode	ファストページモード	ふぁすとぺーじもーど	15	
front-side bus	フロントサイドバス	ふろんとさいどばす	15	
FSB	FSB	FSB	15	see: front-side bus
northbridge	ノースブリッジ	のーすぶりっじ	15	
magnetic disk	磁気ディスク	じきでぃすく	16	
platter	プラッタ	ぷらった	16	
spindle	スピンドル	すぴんどる	16	
disk head	磁気ヘッド	じきへっど	16	
track	トラック	とらっく	16	disk
cylinder	シリンダ	しりんだ	16	disk
sector	セクタ	せくた	16	disk
seek time	シーク時間	しーくじかん	16	
rotational latency	回転待ち時間	かいてんまちじかん	16	
optical disk	光ディスク	ひかりでぃすく	16	
magnetic tape	磁気テープ	じきてーぷ	16	
sequential access	順次アクセス	じゅんじあくせす	16	
flash memory	フラッシュメモリ	ふらっしゅめもり	16	not: flush
solid-state disk	SSD	SSD	16	
SSD	SSD	SSD	16	see: solid-state disk
hybrid disk	ハイブリッドディスク	はいぶりっどでぃすく	16	magnetic disk with flash cache
I/O bus	I/O バス	IO ばす	16	
southbridge	サウスブリッジ	さうすぶりっじ	16	
dependability	ディペンダビリティ	でぃぺんだびりてぃ	17	
fault	フォールト	ふぉーると	17	defect that may cause an error
error	エラー	えらー	17	incorrect internal state
failure	故障	こしょう	17	deviation of delivered service from specification
reliability	信頼性	しんらいせい	17	
availability	可用性	かようせい	17	
mean time to failure	平均故障時間	へいきんこしょうじかん	17	
MTTF	MTTF	MTTF	17	see: mean time to failure
mean time to repair	平均修復時間	へいきんしゅうふくじかん	17	
MTTR	MTTR	MTTR	17	see: mean time to repair
mean time between failures	平均故障間隔	へいきんこしょうかんかく	17	
MTBF	MTBF	MTBF	17	see: mean time between failures
hardware fault	ハードウェアフォールト	はーどうぇあふぉーると	17	fault by cause
design fault	設計フォールト	せっけいふぉーると	17	fault by cause
operation fault	運用フォールト	うんようふぉーると	17	fault by cause
environmental fault	環境フォールト	かんきょうふぉーると	17	fault by cause
permanent fault	永久フォールト	えいきゅうふぉーると	17	fault by duration
intermittent fault	間欠フォールト	かんけつふぉーると	17	fault by duration
transient fault	過渡フォールト	かとふぉーると	17	fault by duration
fault avoidance	フォールト回避	ふぉーるとかいひ	17	
fault tolerance	フォールトトレランス	ふぉーるととれらんす	17	
checkpointing	チェックポインティング	ちぇっくぽいんてぃんぐ	17	
N-module redundancy	N モジュール冗長	N もじゅーるじょうちょう	17	
parity	パリティ	ぱりてぃ	17	
error-correcting code	誤り訂正符号	あやまりていせいふごう	17	
ECC	ECC	ECC	17	see: error-correcting code
redundant array of independent disks	RAID	RAID	17	
RAID	RAID	RAID	17	see: redundant array of independent disks
RAID 0	RAID 0	RAID 0	17	striping
striping	ストライピング	すとらいぴんぐ	17	
RAID 1	RAID 1	RAID 1	17	mirroring
mirroring	ミラーリング	みらーりんぐ	17	
RAID 4	RAID 4	RAID 4	17	block-interleaved parity on a dedicated disk
RAID 5	RAID 5	RAID 5	17	distributed parity
RAID 6	RAID 6	RAID 6	17	two check blocks per stripe
Flynn's taxonomy	Flynn の分類	ふりんのぶんるい	18	
single instruction, single data	SISD	SISD	18	
SISD	SISD	SISD	18	see: single instruction, single data
single instruction, multiple data	SIMD	SIMD	18	
SIMD	SIMD	SIMD	18	see: single instruction, multiple data
multiple instruction, single data	MISD	MISD	18	
MISD	MISD	MISD	18	see: multiple instruction, single data
multiple instruction, multiple data	MIMD	MIMD	18	
MIMD	MIMD	MIMD	18	see: multiple instruction, multiple data
multiprocessor	マルチプロセッサ	まるちぷろせっさ	18	
multicore processor	マルチコアプロセッサ	まるちこあぷろせっさ	18	
centralized shared memory	集中共有メモリ	しゅうちゅうきょうゆうめもり	18	
uniform memory access	UMA	UMA	18	
UMA	UMA	UMA	18	see: uniform memory access
symmetric multiprocessor	対称型マルチプロセッサ	たいしょうがたまるちぷろせっさ	18	
SMP	SMP	SMP	18	see: symmetric multiprocessor
distributed shared memory	分散共有メモリ	ぶんさんきょうゆうめもり	18	
non-uniform memory access	NUMA	NUMA	18	
NUMA	NUMA	NUMA	18	see: non-uniform memory access
message passing	メッセージパッシング	めっせーじぱっしんぐ	18	
shared memory	共有メモリ	きょうゆうめもり	18	programming model
chip multiprocessor	チップマルチプロセッサ	ちっぷまるちぷろせっさ	18	
CMP	CMP	CMP	18	see: chip multiprocessor
simultaneous multithreading	同時マルチスレッディング	どうじまるちすれっでぃんぐ	18	
SMT	SMT	SMT	18	see: simultaneous multithreading
cache coherence	キャッシュコヒーレンス	きゃっしゅこひーれんす	19	not: memory consistency
bus snooping	バススヌーピング	ばすすぬーぴんぐ	19	
write-update coherence	書き込み時更新方式	かきこみじこうしんほうしき	19	
write-invalidate coherence	書き込み時無効化方式	かきこみじむこうかほうしき	19	
MSI protocol	MSI プロトコル	MSI ぷろとこる	19	modified, shared, invalid
cache-to-cache transfer	キャッシュ間転送	きゃっしゅかんてんそう	19	
MOSI protocol	MOSI プロトコル	MOSI ぷろとこる	19	modified, owned, shared, invalid
MESI protocol	MESI プロトコル	MESI ぷろとこる	19	modified, exclusive, shared, invalid
MOESI protocol	MOESI プロトコル	MOESI ぷろとこる	19	
directory-based coherence	ディレクトリ方式	でぃれくとりほうしき	19	
coherence miss	コヒーレンスミス	こひーれんすみす	19	
true sharing	真共有	しんきょうゆう	19	
false sharing	偽共有	ぎきょうゆう	19	also: フォールスシェアリング
lock	ロック	ろっく	20	
mutual exclusion	相互排除	そうごはいじょ	20	
critical section	クリティカルセクション	くりてぃかるせくしょん	20	
atomic instruction	アトミック命令	あとみっくめいれい	20	
test-and-set	テストアンドセット	てすとあんどせっと	20	
load-linked/store-conditional	LL/SC	LL SC	20	
LL/SC	LL/SC	LL SC	20	see: load-linked/store-conditional
barrier synchronization	バリア同期	ばりあどうき	20	
memory consistency	メモリ一貫性	めもりいっかんせい	21	
sequential consistency	逐次一貫性	ちくじいっかんせい	21	
relaxed consistency	緩和一貫性	かんわいっかんせい	21	
data race	データ競合	でーたきょうごう	21	
consistency model	一貫性モデル	いっかんせいもでる	21	
strong consistency	強い一貫性	つよいいっかんせい	21	
causal consistency	因果一貫性	いんがいっかんせい	21	
weak consistency	弱い一貫性	よわいいっかんせい	21	
many-core processor	メニーコアプロセッサ	めにーこあぷろせっさ	22	
network on chip	ネットワークオンチップ	ねっとわーくおんちっぷ	22	
mesh	メッシュ	めっしゅ	22	network topology
distributed last-level cache	分散最終レベルキャッシュ	ぶんさんさいしゅうれべるきゃっしゅ	22	
on-chip directory	オンチップディレクトリ	おんちっぷでぃれくとり	22	coherence directory
tile	タイル	たいる	22	core, private caches, LLC slice, directory part, router
torus	トーラス	とーらす	22	network topology
partial directory	部分ディレクトリ	ぶぶんでぃれくとり	22	
turbo mode	ターボモード	たーぼもーど	22	
logical processor	論理プロセッサ	ろんりぷろせっさ	22	hardware thread as seen by the OS
